image,coordinate1,coordinate2
1708123193974.jpg,"(169, 131)","(181, 142)"
1708123205607.jpg,"(64, 136)","(78, 157)"
1708123205825.jpg,"(245, 135)","(259, 153)"
1708123206057.jpg,"(237, 127)","(256, 148)"
1708123206094.jpg,"(77, 97)","(103, 128)"
1708123206121.jpg,"(31, 120)","(52, 146)"
1708123206137.jpg,"(178, 95)","(206, 124)"
1708123206252.jpg,"(41, 46)","(92, 120)"
1708123206285.jpg,"(117, 166)","(127, 185)"
1708123206327.jpg,"(259, 83)","(279, 109)"
1708123206443.jpg,"(223, 56)","(249, 108)"
1708123206487.jpg,"(31, 35)","(69, 84)"
1708123206719.jpg,"(200, 106)","(222, 129)"
1708123206734.jpg,"(75, 121)","(88, 140)"
1708123206898.jpg,"(73, 63)","(113, 118)"
1708123207012.jpg,"(31, 130)","(50, 148)"
1708123207365.jpg,"(20, 118)","(36, 139)"
1708123207413.jpg,"(176, 106)","(207, 139)"
1708123207549.jpg,"(242, 94)","(266, 122)"
1708123207575.jpg,"(17, 96)","(33, 117)"
1708123207588.jpg,"(250, 135)","(262, 152)"
1708123207760.jpg,"(144, 126)","(156, 143)"
1708123207773.jpg,"(257, 155)","(267, 167)"
1708123207943.jpg,"(66, 134)","(75, 149)"
1708123264771.jpg,"(114, 159)","(148, 220)"
1708123264776.jpg,"(8, 115)","(24, 148)"
1708123264776.jpg,"(277, 114)","(293, 146)"
1708123264799.jpg,"(124, 72)","(197, 162)"
1708123264818.jpg,"(209, 75)","(278, 175)"
1708123264820.jpg,"(130, 84)","(265, 215)"
1708123264822.jpg,"(148, 177)","(160, 191)"
1708123264825.jpg,"(225, 89)","(261, 152)"
1708123264827.jpg,"(115, 93)","(172, 202)"
1708123264830.jpg,"(55, 42)","(215, 254)"
1708123264832.jpg,"(95, 233)","(127, 267)"
1708123264835.jpg,"(147, 152)","(247, 227)"
1708123264837.jpg,"(45, 66)","(145, 207)"
1708123264937.jpg,"(191, 138)","(244, 183)"
1708123264942.jpg,"(150, 63)","(236, 145)"
1708123264944.jpg,"(125, 64)","(246, 183)"
1708123264946.jpg,"(9, 64)","(112, 181)"
1708123264946.jpg,"(192, 70)","(289, 192)"
1708123264951.jpg,"(69, 133)","(160, 204)"
1708123264953.jpg,"(54, 86)","(145, 217)"
1708123264955.jpg,"(38, 85)","(217, 206)"
1708123264969.jpg,"(52, 62)","(195, 211)"
1708123264979.jpg,"(115, 140)","(181, 217)"
1708123264981.jpg,"(125, 53)","(182, 129)"
1708123264984.jpg,"(209, 87)","(296, 195)"
1708123264987.jpg,"(153, 65)","(205, 130)"
1708123264991.jpg,"(45, 74)","(126, 200)"
1708123264993.jpg,"(131, 161)","(186, 226)"
1708123264995.jpg,"(167, 87)","(208, 147)"
1708123265079.jpg,"(227, 89)","(236, 105)"
1708123274164.jpg,"(104, 13)","(216, 172)"
1708123274166.jpg,"(167, 70)","(204, 122)"
1708123274175.jpg,"(194, 128)","(238, 182)"
1708123274200.jpg,"(61, 56)","(227, 255)"
1708123274205.jpg,"(176, 60)","(249, 140)"
1708123274211.jpg,"(74, 149)","(88, 168)"
1708123274217.jpg,"(65, 49)","(222, 247)"
1708123274228.jpg,"(98, 0)","(252, 140)"
1708123274271.jpg,"(77, 34)","(163, 139)"
1708123274349.jpg,"(177, 67)","(245, 132)"
1708123274360.jpg,"(91, 14)","(226, 173)"
1708123274366.jpg,"(194, 74)","(237, 138)"
1708123274371.jpg,"(107, 168)","(179, 258)"
1708123274377.jpg,"(104, 104)","(182, 199)"
1708123274400.jpg,"(91, 31)","(204, 188)"
1708123274405.jpg,"(173, 63)","(245, 140)"
1708123274410.jpg,"(192, 82)","(264, 178)"
1708123282178.jpg,"(223, 65)","(278, 134)"
1708123282180.jpg,"(135, 67)","(207, 170)"
1708123282183.jpg,"(127, 66)","(231, 175)"
1708123282184.jpg,"(118, 68)","(274, 231)"
1708123282186.jpg,"(230, 112)","(265, 153)"
1708123282186.jpg,"(77, 112)","(114, 155)"
1708123282190.jpg,"(204, 79)","(238, 130)"
1708123282192.jpg,"(200, 109)","(235, 166)"
1708123282194.jpg,"(171, 29)","(222, 108)"
1708123282196.jpg,"(46, 85)","(132, 210)"
1708123282218.jpg,"(108, 54)","(210, 188)"
1708123282220.jpg,"(40, 119)","(98, 183)"
1708123282222.jpg,"(207, 83)","(230, 113)"
1708123282224.jpg,"(100, 39)","(292, 219)"
1708123282226.jpg,"(217, 69)","(269, 154)"
1708123282232.jpg,"(39, 118)","(96, 184)"
1708123282234.jpg,"(49, 76)","(167, 198)"
1708123282236.jpg,"(141, 114)","(191, 153)"
1708123298938.jpg,"(157, 101)","(234, 182)"
1708123339663.jpg,"(101, 79)","(201, 205)"
1708123339670.jpg,"(217, 63)","(284, 146)"
1708123339675.jpg,"(158, 81)","(206, 144)"
aug_0_1708123166355.jpg,"(214, 138)","(243, 168)"
aug_0_1708123166427.jpg,"(59, 149)","(83, 178)"
aug_0_1708123166553.jpg,"(222, 100)","(251, 138)"
aug_0_1708123166805.jpg,"(199, 160)","(213, 177)"
aug_0_1708123167098.jpg,"(235, 87)","(262, 128)"
aug_0_1708123167211.jpg,"(6, 154)","(23, 171)"
aug_0_1708123167259.jpg,"(112, 131)","(135, 150)"
aug_0_1708123167301.jpg,"(229, 80)","(250, 104)"
aug_0_1708123167699.jpg,"(141, 107)","(170, 134)"
aug_0_1708123168542.jpg,"(164, 84)","(187, 114)"
aug_0_1708123168743.jpg,"(213, 107)","(238, 137)"
aug_0_1708123168752.jpg,"(222, 138)","(241, 158)"
aug_0_1708123168783.jpg,"(173, 86)","(195, 117)"
aug_0_1708123169064.jpg,"(10, 132)","(23, 147)"
aug_0_1708123169298.jpg,"(51, 128)","(80, 159)"
aug_0_1708123169460.jpg,"(152, 101)","(182, 138)"
aug_0_1708123169501.jpg,"(108, 89)","(136, 113)"
aug_0_1708123169666.jpg,"(72, 87)","(118, 137)"
aug_0_1708123169924.jpg,"(103, 95)","(136, 136)"
aug_0_1708123170043.jpg,"(78, 121)","(92, 143)"
aug_0_1708123170109.jpg,"(159, 70)","(198, 118)"
aug_0_1708123170134.jpg,"(221, 149)","(241, 168)"
aug_0_1708123170653.jpg,"(163, 117)","(175, 130)"
aug_0_1708123171348.jpg,"(220, 108)","(235, 125)"
aug_0_1708123171758.jpg,"(85, 97)","(98, 114)"
aug_0_1708123172641.jpg,"(60, 107)","(71, 124)"
aug_0_1708123172682.jpg,"(224, 101)","(239, 115)"
aug_0_1708123190764.jpg,"(4, 130)","(20, 154)"
aug_0_1708123190776.jpg,"(259, 42)","(284, 65)"
aug_0_1708123190789.jpg,"(38, 114)","(55, 135)"
aug_0_1708123190819.jpg,"(184, 62)","(205, 97)"
aug_0_1708123190855.jpg,"(37, 154)","(60, 177)"
aug_0_1708123190940.jpg,"(253, 129)","(275, 146)"
aug_0_1708123190952.jpg,"(245, 155)","(262, 183)"
aug_0_1708123190981.jpg,"(42, 115)","(55, 133)"
aug_0_1708123191040.jpg,"(226, 111)","(245, 140)"
aug_0_1708123191057.jpg,"(239, 124)","(256, 142)"
aug_0_1708123191057.jpg,"(31, 169)","(49, 192)"
aug_0_1708123191085.jpg,"(78, 107)","(98, 133)"
aug_0_1708123191135.jpg,"(220, 66)","(248, 83)"
aug_0_1708123191269.jpg,"(235, 41)","(271, 91)"
aug_0_1708123191283.jpg,"(226, 56)","(262, 86)"
aug_0_1708123191296.jpg,"(144, 133)","(182, 173)"
aug_0_1708123191324.jpg,"(69, 136)","(85, 164)"
aug_0_1708123191334.jpg,"(31, 143)","(71, 177)"
aug_0_1708123191451.jpg,"(11, 112)","(50, 152)"
aug_0_1708123191483.jpg,"(67, 117)","(87, 143)"
aug_0_1708123191491.jpg,"(217, 116)","(236, 135)"
aug_0_1708123191537.jpg,"(231, 74)","(275, 114)"
aug_0_1708123191694.jpg,"(20, 98)","(50, 137)"
aug_0_1708123191722.jpg,"(63, 106)","(77, 123)"
aug_0_1708123191901.jpg,"(117, 145)","(135, 164)"
aug_0_1708123192039.jpg,"(133, 94)","(160, 123)"
aug_0_1708123192065.jpg,"(160, 110)","(180, 142)"
aug_0_1708123192373.jpg,"(208, 115)","(222, 128)"
aug_0_1708123192415.jpg,"(143, 94)","(156, 111)"
aug_0_1708123192924.jpg,"(162, 158)","(168, 170)"
aug_0_1708123193050.jpg,"(112, 117)","(121, 130)"
aug_0_1708123193091.jpg,"(71, 172)","(81, 185)"
aug_0_1708123193132.jpg,"(82, 110)","(94, 127)"
aug_0_1708123193246.jpg,"(27, 117)","(42, 135)"
aug_0_1708123193286.jpg,"(88, 142)","(97, 156)"
aug_0_1708123193330.jpg,"(241, 107)","(255, 128)"
aug_0_1708123193679.jpg,"(100, 108)","(109, 123)"
aug_0_1708123193720.jpg,"(163, 103)","(175, 118)"
aug_0_1708123205500.jpg,"(47, 128)","(62, 149)"
aug_0_1708123205514.jpg,"(177, 110)","(191, 130)"
aug_0_1708123205659.jpg,"(163, 107)","(180, 124)"
aug_0_1708123205701.jpg,"(100, 116)","(128, 145)"
aug_0_1708123205854.jpg,"(38, 108)","(64, 137)"
aug_0_1708123205882.jpg,"(49, 116)","(69, 144)"
aug_0_1708123206023.jpg,"(241, 50)","(269, 73)"
aug_0_1708123206208.jpg,"(9, 122)","(30, 150)"
aug_0_1708123206353.jpg,"(243, 105)","(263, 128)"
aug_0_1708123206756.jpg,"(179, 81)","(200, 104)"
aug_0_1708123206807.jpg,"(39, 77)","(51, 89)"
aug_0_1708123206964.jpg,"(268, 98)","(299, 126)"
aug_0_1708123206989.jpg,"(139, 126)","(156, 147)"
aug_0_1708123207048.jpg,"(25, 119)","(39, 138)"
aug_0_1708123207266.jpg,"(271, 145)","(281, 159)"
aug_0_1708123207549.jpg,"(242, 90)","(264, 111)"
aug_0_1708123207575.jpg,"(265, 131)","(277, 152)"
aug_0_1708123207658.jpg,"(217, 84)","(240, 111)"
aug_0_1708123207713.jpg,"(10, 122)","(24, 141)"
aug_0_1708123207728.jpg,"(165, 91)","(188, 114)"
aug_0_1708123264842.jpg,"(162, 95)","(273, 239)"
aug_0_1708123264844.jpg,"(2, 57)","(119, 211)"
aug_0_1708123264847.jpg,"(176, 67)","(260, 118)"
aug_0_1708123264850.jpg,"(27, 94)","(50, 116)"
aug_0_1708123264853.jpg,"(93, 10)","(210, 155)"
aug_0_1708123264855.jpg,"(177, 142)","(193, 161)"
aug_0_1708123264868.jpg,"(97, 56)","(173, 123)"
aug_0_1708123264880.jpg,"(134, 63)","(228, 182)"
aug_0_1708123264882.jpg,"(46, 83)","(121, 172)"
aug_0_1708123264885.jpg,"(61, 31)","(139, 104)"
aug_0_1708123264887.jpg,"(120, 79)","(228, 205)"
aug_0_1708123264891.jpg,"(19, 107)","(88, 181)"
aug_0_1708123264894.jpg,"(24, 167)","(38, 185)"
aug_0_1708123264896.jpg,"(67, 68)","(174, 223)"
aug_0_1708123264909.jpg,"(11, 88)","(145, 244)"
aug_0_1708123264919.jpg,"(119, 57)","(191, 157)"
aug_0_1708123264922.jpg,"(80, 48)","(135, 128)"
aug_0_1708123264924.jpg,"(129, 94)","(171, 135)"
aug_0_1708123264926.jpg,"(126, 120)","(208, 165)"
aug_0_1708123264927.jpg,"(49, 71)","(119, 151)"
aug_0_1708123264931.jpg,"(99, 78)","(163, 163)"
aug_0_1708123264933.jpg,"(161, 99)","(223, 151)"
aug_0_1708123264935.jpg,"(51, 104)","(135, 170)"
aug_0_1708123264937.jpg,"(57, 148)","(120, 191)"
aug_0_1708123264944.jpg,"(126, 53)","(267, 221)"
aug_0_1708123264987.jpg,"(136, 59)","(202, 123)"
aug_0_1708123264993.jpg,"(101, 153)","(168, 227)"
aug_0_1708123265009.jpg,"(196, 103)","(242, 142)"
aug_0_1708123274099.jpg,"(62, 46)","(130, 126)"
aug_0_1708123274107.jpg,"(35, 67)","(100, 168)"
aug_0_1708123274129.jpg,"(124, 55)","(239, 205)"
aug_0_1708123274271.jpg,"(129, 44)","(226, 155)"
aug_0_1708123274276.jpg,"(207, 63)","(284, 199)"
aug_0_1708123274288.jpg,"(110, 53)","(268, 186)"
aug_0_1708123274299.jpg,"(156, 31)","(277, 171)"
aug_0_1708123274306.jpg,"(152, 48)","(262, 214)"
aug_0_1708123274311.jpg,"(60, 5)","(218, 186)"
aug_0_1708123274313.jpg,"(131, 69)","(257, 194)"
aug_0_1708123282240.jpg,"(11, 70)","(210, 248)"
aug_0_1708123282243.jpg,"(120, 3)","(7, 228)"
aug_0_1708123282244.jpg,"(187, 7)","(79, 143)"
aug_0_1708123291610.jpg,"(90, 43)","(259, 252)"
aug_0_1708123291612.jpg,"(112, 37)","(222, 158)"
aug_0_1708123291614.jpg,"(24, 29)","(151, 241)"
aug_0_1708123291616.jpg,"(137, 71)","(271, 230)"
aug_0_1708123291628.jpg,"(88, 83)","(196, 187)"
aug_0_1708123291638.jpg,"(167, 53)","(282, 148)"
aug_0_1708123298949.jpg,"(177, 101)","(209, 152)"
aug_0_1708123298959.jpg,"(9, 119)","(91, 200)"
aug_0_1708123298961.jpg,"(10, 56)","(63, 118)"
aug_0_1708123298964.jpg,"(170, 55)","(257, 135)"
aug_0_1708123298966.jpg,"(0, 65)","(153, 256)"
aug_0_1708123298967.jpg,"(202, 39)","(269, 114)"
aug_0_1708123332144.jpg,"(78, 63)","(270, 226)"
aug_0_1708123332146.jpg,"(6, 68)","(153, 225)"
aug_0_1708123332152.jpg,"(0, 72)","(168, 237)"
aug_0_1708123332154.jpg,"(2, 70)","(144, 211)"
aug_0_1708123332156.jpg,"(19, 88)","(178, 247)"
aug_0_1708123332168.jpg,"(44, 116)","(83, 158)"
aug_0_1708123332178.jpg,"(55, 97)","(85, 137)"
aug_0_1708123332180.jpg,"(60, 36)","(110, 110)"
aug_0_1708123332181.jpg,"(159, 19)","(216, 73)"
aug_0_1708123332231.jpg,"(208, 89)","(225, 107)"
aug_0_1708123339607.jpg,"(81, 43)","(246, 237)"
aug_0_1708123339613.jpg,"(66, 88)","(137, 194)"
aug_0_1708123339749.jpg,"(71, 75)","(202, 220)"
aug_0_1708123339760.jpg,"(68, 74)","(191, 220)"
aug_0_1708123339766.jpg,"(142, 118)","(181, 176)"
aug_0_1708123339771.jpg,"(78, 70)","(214, 212)"
aug_0_1708123339777.jpg,"(168, 21)","(243, 109)"
aug_1_1708123166355.jpg,"(177, 183)","(198, 210)"
aug_1_1708123166427.jpg,"(84, 118)","(103, 145)"
aug_1_1708123166553.jpg,"(48, 113)","(81, 147)"
aug_1_1708123166805.jpg,"(92, 176)","(105, 190)"
aug_1_1708123167098.jpg,"(61, 80)","(87, 123)"
aug_1_1708123167259.jpg,"(156, 104)","(175, 124)"
aug_1_1708123167301.jpg,"(237, 88)","(260, 112)"
aug_1_1708123167699.jpg,"(153, 127)","(177, 157)"
aug_1_1708123168542.jpg,"(131, 71)","(167, 102)"
aug_1_1708123168743.jpg,"(238, 126)","(266, 160)"
aug_1_1708123168752.jpg,"(205, 120)","(222, 137)"
aug_1_1708123168783.jpg,"(170, 102)","(201, 138)"
aug_1_1708123169064.jpg,"(275, 106)","(291, 125)"
aug_1_1708123169298.jpg,"(54, 104)","(84, 137)"
aug_1_1708123169460.jpg,"(137, 77)","(178, 131)"
aug_1_1708123169501.jpg,"(154, 103)","(183, 132)"
aug_1_1708123169666.jpg,"(150, 105)","(196, 169)"
aug_1_1708123169924.jpg,"(112, 97)","(147, 148)"
aug_1_1708123170043.jpg,"(62, 110)","(85, 140)"
aug_1_1708123170109.jpg,"(72, 95)","(118, 142)"
aug_1_1708123170134.jpg,"(66, 160)","(81, 179)"
aug_1_1708123170653.jpg,"(239, 126)","(248, 139)"
aug_1_1708123171348.jpg,"(213, 97)","(235, 122)"
aug_1_1708123171758.jpg,"(169, 86)","(184, 106)"
aug_1_1708123172641.jpg,"(213, 131)","(229, 154)"
aug_1_1708123172682.jpg,"(222, 104)","(237, 118)"
aug_1_1708123190764.jpg,"(260, 133)","(275, 153)"
aug_1_1708123190776.jpg,"(16, 108)","(41, 136)"
aug_1_1708123190789.jpg,"(49, 114)","(65, 135)"
aug_1_1708123190819.jpg,"(183, 70)","(204, 105)"
aug_1_1708123190940.jpg,"(232, 149)","(247, 169)"
aug_1_1708123190952.jpg,"(213, 104)","(233, 126)"
aug_1_1708123190981.jpg,"(34, 115)","(52, 135)"
aug_1_1708123191040.jpg,"(65, 111)","(90, 136)"
aug_1_1708123191057.jpg,"(256, 132)","(275, 151)"
aug_1_1708123191085.jpg,"(71, 112)","(103, 148)"
aug_1_1708123191135.jpg,"(36, 123)","(66, 151)"
aug_1_1708123191224.jpg,"(37, 69)","(71, 121)"
aug_1_1708123191269.jpg,"(6, 52)","(44, 106)"
aug_1_1708123191283.jpg,"(228, 55)","(265, 105)"
aug_1_1708123191296.jpg,"(125, 149)","(168, 187)"
aug_1_1708123191324.jpg,"(224, 155)","(244, 176)"
aug_1_1708123191334.jpg,"(34, 118)","(68, 153)"
aug_1_1708123191451.jpg,"(231, 60)","(269, 103)"
aug_1_1708123191483.jpg,"(70, 126)","(88, 151)"
aug_1_1708123191491.jpg,"(55, 121)","(72, 146)"
aug_1_1708123191537.jpg,"(1, 116)","(30, 167)"
aug_1_1708123191694.jpg,"(251, 90)","(289, 135)"
aug_1_1708123191901.jpg,"(155, 112)","(181, 143)"
aug_1_1708123192039.jpg,"(102, 110)","(126, 134)"
aug_1_1708123192373.jpg,"(201, 93)","(218, 114)"
aug_1_1708123192415.jpg,"(153, 111)","(165, 125)"
aug_1_1708123192705.jpg,"(29, 141)","(69, 178)"
aug_1_1708123193050.jpg,"(145, 146)","(154, 156)"
aug_1_1708123193091.jpg,"(233, 95)","(255, 111)"
aug_1_1708123193132.jpg,"(90, 122)","(105, 138)"
aug_1_1708123193246.jpg,"(26, 97)","(44, 125)"
aug_1_1708123193286.jpg,"(73, 166)","(88, 181)"
aug_1_1708123193330.jpg,"(49, 135)","(69, 159)"
aug_1_1708123193679.jpg,"(117, 78)","(129, 91)"
aug_1_1708123193720.jpg,"(148, 123)","(160, 134)"
aug_1_1708123205500.jpg,"(239, 126)","(252, 144)"
aug_1_1708123205514.jpg,"(200, 106)","(209, 124)"
aug_1_1708123205659.jpg,"(168, 120)","(178, 131)"
aug_1_1708123205701.jpg,"(122, 132)","(143, 161)"
aug_1_1708123205854.jpg,"(44, 94)","(64, 120)"
aug_1_1708123205882.jpg,"(258, 135)","(273, 153)"
aug_1_1708123206023.jpg,"(283, 91)","(294, 104)"
aug_1_1708123206137.jpg,"(100, 108)","(123, 134)"
aug_1_1708123206208.jpg,"(9, 140)","(27, 164)"
aug_1_1708123206353.jpg,"(31, 122)","(51, 146)"
aug_1_1708123206756.jpg,"(101, 100)","(116, 119)"
aug_1_1708123206807.jpg,"(251, 100)","(261, 111)"
aug_1_1708123206964.jpg,"(255, 101)","(282, 126)"
aug_1_1708123206989.jpg,"(78, 140)","(93, 150)"
aug_1_1708123207048.jpg,"(233, 92)","(250, 108)"
aug_1_1708123207266.jpg,"(40, 132)","(50, 143)"
aug_1_1708123207658.jpg,"(229, 105)","(249, 140)"
aug_1_1708123207713.jpg,"(12, 139)","(31, 163)"
aug_1_1708123207728.jpg,"(112, 87)","(131, 114)"
aug_1_1708123264771.jpg,"(144, 167)","(190, 223)"
aug_1_1708123264842.jpg,"(39, 100)","(151, 248)"
aug_1_1708123264844.jpg,"(37, 75)","(3, 240)"
aug_1_1708123264844.jpg,"(74, 72)","(4, 242)"
aug_1_1708123264847.jpg,"(90, 63)","(0, 99)"
aug_1_1708123264850.jpg,"(257, 131)","(283, 160)"
aug_1_1708123264853.jpg,"(78, 35)","(221, 150)"
aug_1_1708123264855.jpg,"(169, 121)","(188, 139)"
aug_1_1708123264868.jpg,"(115, 62)","(199, 129)"
aug_1_1708123264880.jpg,"(143, 64)","(214, 178)"
aug_1_1708123264882.jpg,"(132, 61)","(230, 135)"
aug_1_1708123264885.jpg,"(158, 28)","(221, 112)"
aug_1_1708123264887.jpg,"(113, 77)","(226, 207)"
aug_1_1708123264891.jpg,"(216, 88)","(264, 164)"
aug_1_1708123264894.jpg,"(275, 169)","(296, 188)"
aug_1_1708123264896.jpg,"(66, 67)","(181, 225)"
aug_1_1708123264909.jpg,"(18, 81)","(135, 244)"
aug_1_1708123264919.jpg,"(103, 56)","(171, 157)"
aug_1_1708123264922.jpg,"(198, 38)","(248, 120)"
aug_1_1708123264924.jpg,"(125, 89)","(170, 139)"
aug_1_1708123264926.jpg,"(93, 110)","(171, 162)"
aug_1_1708123264927.jpg,"(21, 35)","(92, 138)"
aug_1_1708123264931.jpg,"(89, 62)","(169, 160)"
aug_1_1708123264933.jpg,"(190, 96)","(235, 150)"
aug_1_1708123264935.jpg,"(89, 100)","(142, 163)"
aug_1_1708123264937.jpg,"(192, 133)","(245, 183)"
aug_1_1708123264942.jpg,"(124, 53)","(223, 127)"
aug_1_1708123264981.jpg,"(113, 42)","(187, 116)"
aug_1_1708123264995.jpg,"(81, 82)","(136, 147)"
aug_1_1708123265009.jpg,"(65, 108)","(95, 148)"
aug_1_1708123274099.jpg,"(172, 63)","(241, 138)"
aug_1_1708123274107.jpg,"(155, 43)","(268, 150)"
aug_1_1708123274129.jpg,"(127, 44)","(230, 199)"
aug_1_1708123274263.jpg,"(165, 83)","(180, 106)"
aug_1_1708123274271.jpg,"(77, 36)","(168, 134)"
aug_1_1708123274276.jpg,"(217, 56)","(297, 159)"
aug_1_1708123274288.jpg,"(45, 49)","(154, 189)"
aug_1_1708123274299.jpg,"(27, 3)","(116, 156)"
aug_1_1708123274306.jpg,"(143, 33)","(260, 164)"
aug_1_1708123274311.jpg,"(86, 22)","(223, 198)"
aug_1_1708123274313.jpg,"(52, 73)","(149, 204)"
aug_1_1708123282240.jpg,"(6, 36)","(180, 230)"
aug_1_1708123282243.jpg,"(159, 18)","(5, 223)"
aug_1_1708123282244.jpg,"(45, 2)","(167, 122)"
aug_1_1708123291610.jpg,"(88, 49)","(257, 237)"
aug_1_1708123291612.jpg,"(153, 43)","(245, 158)"
aug_1_1708123291614.jpg,"(37, 49)","(164, 219)"
aug_1_1708123291616.jpg,"(49, 105)","(151, 245)"
aug_1_1708123291628.jpg,"(93, 65)","(191, 182)"
aug_1_1708123291638.jpg,"(201, 44)","(296, 158)"
aug_1_1708123298949.jpg,"(79, 109)","(127, 159)"
aug_1_1708123298959.jpg,"(193, 58)","(276, 137)"
aug_1_1708123298961.jpg,"(220, 57)","(277, 111)"
aug_1_1708123298964.jpg,"(179, 58)","(267, 132)"
aug_1_1708123298966.jpg,"(156, 52)","(267, 228)"
aug_1_1708123298967.jpg,"(1, 74)","(81, 159)"
aug_1_1708123332144.jpg,"(51, 62)","(236, 202)"
aug_1_1708123332146.jpg,"(132, 60)","(28, 247)"
aug_1_1708123332152.jpg,"(150, 32)","(297, 176)"
aug_1_1708123332154.jpg,"(13, 69)","(151, 217)"
aug_1_1708123332156.jpg,"(137, 44)","(267, 196)"
aug_1_1708123332168.jpg,"(51, 87)","(86, 122)"
aug_1_1708123332178.jpg,"(214, 111)","(251, 163)"
aug_1_1708123332180.jpg,"(32, 56)","(94, 128)"
aug_1_1708123332181.jpg,"(38, 65)","(89, 116)"
aug_1_1708123332231.jpg,"(55, 100)","(68, 119)"
aug_1_1708123339607.jpg,"(49, 75)","(181, 234)"
aug_1_1708123339613.jpg,"(25, 99)","(125, 202)"
aug_1_1708123339749.jpg,"(118, 53)","(201, 193)"
aug_1_1708123339760.jpg,"(67, 74)","(188, 219)"
aug_1_1708123339766.jpg,"(95, 105)","(144, 169)"
aug_1_1708123339771.jpg,"(96, 75)","(201, 220)"
aug_1_1708123339777.jpg,"(150, 23)","(227, 111)"
aug_2_1708123166523.jpg,"(50, 129)","(75, 160)"
aug_2_1708123166651.jpg,"(51, 146)","(71, 168)"
aug_2_1708123166692.jpg,"(73, 170)","(93, 194)"
aug_2_1708123166805.jpg,"(189, 184)","(205, 201)"
aug_2_1708123166849.jpg,"(32, 153)","(53, 178)"
aug_2_1708123166871.jpg,"(52, 104)","(91, 146)"
aug_2_1708123166938.jpg,"(220, 17)","(272, 107)"
