image,coordinate1,coordinate2
1708123291612.jpg,"(161, 162)","(230, 41)"
aug_2_1708123332181.jpg,"(84, 53)","(122, 108)"
1708123205701.jpg,"(168, 124)","(183, 146)"
aug_3_1708123191694.jpg,"(243, 120)","(265, 81)"
aug_3_1708123191694.jpg,"(239, 119)","(271, 80)"
aug_1_1708123282196.jpg,"(42, 90)","(140, 214)"
1708123207658.jpg,"(39, 104)","(59, 129)"
aug_1_1708123274166.jpg,"(166, 71)","(205, 123)"
aug_0_1708123282190.jpg,"(226, 101)","(256, 154)"
aug_0_1708123282184.jpg,"(36, 69)","(192, 212)"
aug_3_1708123291610.jpg,"(119, 42)","(252, 211)"
aug_0_1708123265079.jpg,"(182, 84)","(188, 68)"
aug_0_1708123265079.jpg,"(178, 84)","(191, 68)"
aug_2_1708123291616.jpg,"(147, 80)","(254, 200)"
aug_1_1708123207413.jpg,"(169, 100)","(202, 129)"
aug_2_1708123190981.jpg,"(234, 106)","(254, 121)"
aug_3_1708123274313.jpg,"(57, 101)","(161, 199)"
aug_1_1708123170145.jpg,"(174, 142)","(204, 115)"
aug_0_1708123264830.jpg,"(56, 49)","(230, 247)"
aug_0_1708123169412.jpg,"(158, 148)","(174, 119)"
aug_0_1708123169412.jpg,"(157, 149)","(179, 118)"
1708123264880.jpg,"(146, 68)","(215, 173)"
aug_1_1708123172020.jpg,"(173, 133)","(181, 142)"
1708123264894.jpg,"(262, 169)","(277, 187)"
aug_1_1708123206719.jpg,"(82, 167)","(100, 138)"
aug_1_1708123206719.jpg,"(76, 139)","(108, 165)"
aug_0_1708123169348.jpg,"(56, 124)","(75, 145)"
1708123274311.jpg,"(94, 31)","(199, 186)"
aug_1_1708123206057.jpg,"(232, 88)","(255, 106)"
aug_3_1708123264882.jpg,"(173, 152)","(203, 48)"
aug_3_1708123264882.jpg,"(146, 58)","(223, 140)"
aug_0_1708123168724.jpg,"(235, 133)","(250, 147)"
aug_0_1708123264818.jpg,"(204, 168)","(264, 66)"
aug_3_1708123264896.jpg,"(67, 68)","(170, 218)"
aug_1_1708123192103.jpg,"(258, 123)","(281, 145)"
aug_2_1708123170134.jpg,"(242, 149)","(254, 134)"
aug_1_1708123193547.jpg,"(59, 139)","(77, 160)"
1708123168743.jpg,"(228, 120)","(250, 144)"
aug_1_1708123206094.jpg,"(212, 153)","(238, 127)"
aug_0_1708123274410.jpg,"(196, 141)","(241, 35)"
aug_0_1708123274410.jpg,"(177, 43)","(264, 131)"
1708123190952.jpg,"(234, 142)","(251, 164)"
aug_3_1708123264855.jpg,"(190, 142)","(205, 161)"
aug_2_1708123264853.jpg,"(74, 16)","(215, 147)"
1708123206989.jpg,"(156, 134)","(170, 149)"
aug_1_1708123274371.jpg,"(134, 179)","(208, 275)"
aug_3_1708123205500.jpg,"(73, 151)","(87, 164)"
aug_0_1708123274377.jpg,"(100, 199)","(182, 97)"
aug_3_1708123205514.jpg,"(86, 141)","(109, 157)"
1708123206023.jpg,"(13, 106)","(28, 121)"
aug_2_1708123170653.jpg,"(124, 128)","(134, 119)"
aug_0_1708123274405.jpg,"(179, 141)","(237, 65)"
aug_1_1708123191379.jpg,"(229, 135)","(251, 153)"
aug_3_1708123190789.jpg,"(239, 117)","(253, 97)"
aug_3_1708123264868.jpg,"(101, 61)","(175, 139)"
aug_2_1708123168752.jpg,"(55, 167)","(81, 180)"
aug_2_1708123193286.jpg,"(88, 148)","(97, 157)"
aug_3_1708123167301.jpg,"(45, 104)","(68, 83)"
aug_2_1708123191491.jpg,"(62, 139)","(86, 158)"
aug_2_1708123170109.jpg,"(95, 84)","(127, 123)"
1708123169460.jpg,"(116, 102)","(147, 141)"
aug_3_1708123191483.jpg,"(64, 171)","(77, 152)"
1708123264842.jpg,"(153, 95)","(252, 237)"
aug_3_1708123190776.jpg,"(256, 93)","(278, 119)"
aug_1_1708123193591.jpg,"(86, 105)","(97, 114)"
aug_2_1708123264891.jpg,"(22, 96)","(87, 166)"
aug_2_1708123190764.jpg,"(258, 121)","(275, 139)"
aug_2_1708123264885.jpg,"(166, 39)","(223, 97)"
1708123191324.jpg,"(233, 138)","(252, 156)"
aug_0_1708123264825.jpg,"(34, 49)","(83, 120)"
aug_2_1708123191334.jpg,"(232, 109)","(264, 136)"
aug_3_1708123274306.jpg,"(115, 27)","(258, 161)"
aug_1_1708123264837.jpg,"(157, 60)","(242, 185)"
aug_3_1708123168783.jpg,"(80, 101)","(118, 135)"
aug_0_1708123274175.jpg,"(69, 131)","(132, 184)"
aug_1_1708123282183.jpg,"(104, 37)","(239, 157)"
aug_3_1708123166553.jpg,"(37, 121)","(72, 156)"
aug_0_1708123191155.jpg,"(87, 131)","(102, 150)"
aug_2_1708123169666.jpg,"(165, 90)","(212, 129)"
aug_2_1708123332180.jpg,"(48, 51)","(109, 122)"
aug_0_1708123172594.jpg,"(119, 107)","(135, 123)"
aug_3_1708123168542.jpg,"(92, 96)","(118, 124)"
1708123339760.jpg,"(87, 70)","(173, 210)"
aug_0_1708123206252.jpg,"(40, 73)","(93, 127)"
aug_3_1708123265009.jpg,"(65, 111)","(96, 144)"
aug_3_1708123166355.jpg,"(196, 162)","(217, 181)"
1708123191085.jpg,"(85, 128)","(104, 155)"
aug_1_1708123339675.jpg,"(94, 69)","(142, 139)"
aug_3_1708123166427.jpg,"(204, 124)","(229, 144)"
aug_3_1708123207713.jpg,"(258, 98)","(276, 119)"
aug_1_1708123207943.jpg,"(53, 153)","(70, 165)"
aug_0_1708123193636.jpg,"(173, 100)","(189, 109)"
1708123169064.jpg,"(271, 133)","(289, 148)"
1708123274099.jpg,"(175, 145)","(238, 69)"
aug_2_1708123192211.jpg,"(213, 122)","(224, 130)"
1708123298964.jpg,"(198, 75)","(261, 166)"
aug_0_1708123169981.jpg,"(204, 79)","(232, 105)"
aug_0_1708123205607.jpg,"(62, 138)","(78, 153)"
aug_3_1708123191722.jpg,"(62, 109)","(77, 124)"
aug_3_1708123298966.jpg,"(142, 45)","(269, 185)"
aug_0_1708123167748.jpg,"(79, 129)","(98, 148)"
1708123193679.jpg,"(187, 105)","(200, 117)"
aug_0_1708123193811.jpg,"(224, 64)","(254, 84)"
aug_0_1708123264776.jpg,"(256, 91)","(286, 111)"
aug_0_1708123264776.jpg,"(3, 140)","(30, 160)"
aug_1_1708123274205.jpg,"(33, 125)","(126, 52)"
aug_0_1708123192058.jpg,"(46, 177)","(63, 191)"
aug_3_1708123190819.jpg,"(123, 81)","(149, 112)"
1708123282243.jpg,"(145, 16)","(293, 276)"
aug_0_1708123274217.jpg,"(52, 66)","(243, 231)"
aug_3_1708123274299.jpg,"(13, 33)","(109, 175)"
aug_1_1708123274211.jpg,"(210, 141)","(227, 156)"
1708123264922.jpg,"(68, 58)","(119, 128)"
aug_2_1708123191283.jpg,"(212, 40)","(252, 77)"
aug_1_1708123166849.jpg,"(10, 160)","(26, 176)"
aug_1_1708123282236.jpg,"(130, 114)","(193, 150)"
1708123332231.jpg,"(239, 119)","(254, 137)"
aug_0_1708123282224.jpg,"(117, 77)","(242, 184)"
aug_0_1708123264979.jpg,"(93, 123)","(160, 193)"
aug_1_1708123282222.jpg,"(175, 70)","(206, 103)"
aug_0_1708123264951.jpg,"(67, 130)","(155, 177)"
aug_0_1708123282218.jpg,"(99, 24)","(204, 185)"
aug_1_1708123264955.jpg,"(102, 239)","(256, 70)"
aug_3_1708123332231.jpg,"(199, 88)","(222, 105)"
aug_2_1708123274276.jpg,"(189, 40)","(285, 143)"
aug_0_1708123264953.jpg,"(49, 88)","(146, 210)"
aug_1_1708123264799.jpg,"(94, 79)","(176, 148)"
aug_2_1708123192039.jpg,"(103, 86)","(131, 118)"
aug_0_1708123282232.jpg,"(54, 111)","(114, 164)"
aug_1_1708123264969.jpg,"(40, 110)","(185, 219)"
aug_1_1708123282234.jpg,"(143, 94)","(230, 180)"
aug_1_1708123282220.jpg,"(200, 118)","(255, 179)"
aug_0_1708123206898.jpg,"(181, 66)","(228, 116)"
aug_0_1708123282226.jpg,"(14, 73)","(81, 147)"
aug_3_1708123282243.jpg,"(126, 10)","(30, 284)"
aug_3_1708123282243.jpg,"(171, 9)","(15, 281)"
1708123190819.jpg,"(168, 80)","(197, 114)"
aug_0_1708123264984.jpg,"(199, 84)","(284, 152)"
1708123274299.jpg,"(177, 63)","(267, 216)"
aug_2_1708123264924.jpg,"(110, 126)","(159, 167)"
aug_3_1708123264922.jpg,"(156, 34)","(220, 96)"
aug_2_1708123167259.jpg,"(94, 96)","(116, 116)"
aug_0_1708123166871.jpg,"(213, 82)","(245, 113)"
aug_2_1708123170043.jpg,"(211, 103)","(229, 123)"
aug_3_1708123298964.jpg,"(174, 77)","(248, 151)"
aug_2_1708123191040.jpg,"(198, 86)","(222, 113)"
aug_0_1708123207012.jpg,"(18, 137)","(34, 151)"
aug_0_1708123207760.jpg,"(123, 142)","(142, 157)"
1708123298966.jpg,"(181, 65)","(266, 229)"
1708123298966.jpg,"(173, 61)","(279, 230)"
1708123191722.jpg,"(64, 110)","(79, 125)"
1708123191722.jpg,"(62, 107)","(75, 122)"
aug_3_1708123193679.jpg,"(93, 128)","(104, 137)"
aug_2_1708123167098.jpg,"(201, 78)","(233, 108)"
1708123166355.jpg,"(85, 171)","(107, 191)"
aug_3_1708123191085.jpg,"(206, 143)","(227, 166)"
aug_2_1708123205882.jpg,"(256, 137)","(273, 153)"
1708123207713.jpg,"(258, 118)","(274, 133)"
1708123166427.jpg,"(76, 140)","(94, 157)"
aug_2_1708123206353.jpg,"(46, 113)","(65, 130)"
aug_0_1708123169954.jpg,"(33, 95)","(59, 126)"
aug_2_1708123191901.jpg,"(113, 132)","(132, 153)"
aug_3_1708123169064.jpg,"(11, 131)","(28, 149)"
aug_3_1708123274099.jpg,"(174, 127)","(233, 50)"
aug_0_1708123191023.jpg,"(51, 155)","(71, 173)"
aug_1_1708123206487.jpg,"(41, 43)","(78, 83)"
aug_1_1708123339663.jpg,"(96, 70)","(218, 196)"
aug_0_1708123282178.jpg,"(1, 118)","(75, 180)"
aug_3_1708123339760.jpg,"(118, 81)","(190, 224)"
aug_2_1708123339766.jpg,"(119, 119)","(157, 170)"
1708123265009.jpg,"(206, 111)","(232, 142)"
aug_0_1708123168257.jpg,"(194, 65)","(230, 108)"
aug_2_1708123192373.jpg,"(66, 108)","(84, 122)"
aug_2_1708123192415.jpg,"(137, 101)","(150, 111)"
aug_2_1708123192415.jpg,"(142, 110)","(146, 98)"
aug_2_1708123192415.jpg,"(137, 112)","(145, 97)"
1708123166553.jpg,"(218, 109)","(246, 139)"
aug_1_1708123191145.jpg,"(266, 67)","(295, 90)"
aug_1_1708123191145.jpg,"(272, 75)","(297, 91)"
1708123168542.jpg,"(101, 84)","(119, 111)"
aug_0_1708123169834.jpg,"(42, 96)","(53, 110)"
aug_0_1708123169834.jpg,"(212, 138)","(225, 151)"
aug_0_1708123167819.jpg,"(35, 109)","(69, 147)"
aug_0_1708123264827.jpg,"(115, 83)","(185, 171)"
1708123190776.jpg,"(253, 81)","(270, 98)"
aug_3_1708123191324.jpg,"(42, 118)","(60, 136)"
aug_0_1708123169377.jpg,"(49, 129)","(69, 145)"
aug_0_1708123169377.jpg,"(251, 145)","(265, 158)"
aug_1_1708123264835.jpg,"(48, 156)","(130, 203)"
1708123274306.jpg,"(158, 46)","(241, 191)"
aug_1_1708123191384.jpg,"(223, 99)","(248, 128)"
aug_0_1708123206734.jpg,"(73, 134)","(87, 146)"
aug_1_1708123191390.jpg,"(52, 114)","(85, 147)"
1708123168783.jpg,"(92, 95)","(116, 125)"
aug_1_1708123192841.jpg,"(113, 172)","(120, 180)"
aug_2_1708123264887.jpg,"(141, 79)","(236, 206)"
aug_2_1708123206964.jpg,"(244, 80)","(274, 105)"
1708123205500.jpg,"(236, 118)","(250, 132)"
aug_0_1708123274349.jpg,"(56, 139)","(124, 71)"
aug_3_1708123206989.jpg,"(111, 123)","(125, 135)"
aug_3_1708123206023.jpg,"(258, 83)","(272, 98)"
1708123205514.jpg,"(200, 119)","(215, 136)"
aug_2_1708123264850.jpg,"(245, 119)","(266, 129)"
aug_0_1708123191341.jpg,"(207, 118)","(223, 137)"
1708123167301.jpg,"(48, 106)","(67, 128)"
1708123264868.jpg,"(125, 54)","(179, 122)"
aug_0_1708123191427.jpg,"(25, 115)","(61, 147)"
aug_1_1708123191347.jpg,"(216, 124)","(231, 142)"
1708123190789.jpg,"(246, 118)","(262, 134)"
1708123191483.jpg,"(208, 126)","(228, 146)"
aug_3_1708123169460.jpg,"(118, 103)","(147, 138)"
aug_1_1708123192882.jpg,"(33, 143)","(57, 157)"
aug_3_1708123264842.jpg,"(144, 116)","(236, 249)"
aug_2_1708123264844.jpg,"(214, 46)","(284, 181)"
aug_1_1708123274366.jpg,"(48, 84)","(95, 142)"
aug_1_1708123274400.jpg,"(92, 25)","(188, 179)"
aug_0_1708123274360.jpg,"(74, 15)","(222, 170)"
aug_0_1708123191354.jpg,"(233, 132)","(248, 148)"
aug_0_1708123191354.jpg,"(233, 130)","(250, 150)"
aug_1_1708123168085.jpg,"(49, 134)","(84, 164)"
aug_0_1708123166938.jpg,"(212, 44)","(246, 107)"
aug_3_1708123168743.jpg,"(47, 132)","(72, 160)"
aug_2_1708123190940.jpg,"(24, 142)","(37, 158)"
aug_0_1708123192661.jpg,"(63, 160)","(80, 176)"
aug_2_1708123206756.jpg,"(189, 77)","(208, 98)"
aug_3_1708123190952.jpg,"(53, 169)","(72, 188)"
1708123264855.jpg,"(191, 141)","(206, 160)"
aug_0_1708123192113.jpg,"(162, 118)","(187, 138)"
aug_3_1708123264880.jpg,"(132, 55)","(219, 165)"
1708123274313.jpg,"(147, 83)","(240, 192)"
aug_2_1708123192170.jpg,"(195, 116)","(217, 128)"
aug_0_1708123167373.jpg,"(87, 68)","(129, 128)"
aug_1_1708123190925.jpg,"(16, 122)","(25, 136)"
aug_3_1708123264894.jpg,"(252, 171)","(273, 195)"
1708123264882.jpg,"(162, 65)","(228, 158)"
aug_0_1708123264832.jpg,"(151, 229)","(181, 254)"
aug_3_1708123274311.jpg,"(109, 22)","(222, 201)"
1708123171589.jpg,"(203, 86)","(222, 109)"
aug_2_1708123191451.jpg,"(232, 66)","(259, 102)"
aug_1_1708123264820.jpg,"(43, 102)","(187, 188)"
aug_2_1708123193246.jpg,"(270, 133)","(288, 153)"
aug_0_1708123167429.jpg,"(39, 34)","(85, 89)"
1708123264896.jpg,"(67, 68)","(172, 218)"
aug_0_1708123282192.jpg,"(58, 124)","(107, 175)"
1708123291638.jpg,"(199, 43)","(294, 155)"
aug_1_1708123274164.jpg,"(61, 24)","(211, 187)"
aug_1_1708123282194.jpg,"(80, 18)","(132, 106)"
aug_1_1708123282180.jpg,"(131, 63)","(211, 172)"
1708123191694.jpg,"(20, 102)","(53, 138)"
aug_2_1708123291614.jpg,"(50, 67)","(147, 229)"
aug_3_1708123291612.jpg,"(55, 22)","(147, 144)"
aug_3_1708123205701.jpg,"(110, 139)","(131, 158)"
aug_3_1708123206208.jpg,"(243, 89)","(263, 103)"
aug_0_1708123282186.jpg,"(30, 128)","(70, 165)"
aug_0_1708123282186.jpg,"(191, 107)","(230, 146)"
aug_3_1708123207658.jpg,"(233, 96)","(260, 123)"
aug_0_1708123169809.jpg,"(185, 144)","(203, 162)"
aug_2_1708123291628.jpg,"(89, 79)","(207, 170)"
1708123291610.jpg,"(100, 46)","(231, 241)"
1708123291610.jpg,"(93, 234)","(271, 64)"
aug_2_1708123332168.jpg,"(214, 67)","(250, 108)"
aug_2_1708123274129.jpg,"(118, 45)","(208, 194)"
aug_3_1708123167699.jpg,"(142, 109)","(173, 136)"
1708123332144.jpg,"(62, 60)","(240, 197)"
aug_1_1708123171715.jpg,"(190, 131)","(201, 144)"
1708123339777.jpg,"(192, 40)","(244, 113)"
aug_3_1708123339749.jpg,"(135, 82)","(203, 219)"
aug_2_1708123332154.jpg,"(144, 184)","(10, 63)"
aug_3_1708123332152.jpg,"(9, 61)","(137, 209)"
aug_3_1708123332146.jpg,"(12, 64)","(119, 228)"
aug_2_1708123191135.jpg,"(251, 138)","(269, 164)"
1708123332178.jpg,"(206, 106)","(237, 145)"
aug_3_1708123274107.jpg,"(23, 84)","(89, 178)"
aug_1_1708123168481.jpg,"(272, 114)","(286, 128)"
aug_1_1708123168481.jpg,"(19, 115)","(35, 132)"
1708123207048.jpg,"(260, 122)","(273, 139)"
aug_1_1708123205825.jpg,"(255, 157)","(265, 170)"
aug_1_1708123205825.jpg,"(254, 159)","(265, 174)"
aug_0_1708123339670.jpg,"(11, 66)","(77, 154)"
aug_1_1708123171846.jpg,"(169, 131)","(175, 141)"
aug_0_1708123206443.jpg,"(219, 57)","(247, 109)"
aug_1_1708123171675.jpg,"(179, 46)","(199, 65)"
aug_3_1708123298959.jpg,"(197, 73)","(259, 134)"
1708123298967.jpg,"(237, 52)","(286, 132)"
aug_2_1708123339613.jpg,"(45, 93)","(116, 190)"
aug_2_1708123339607.jpg,"(97, 58)","(266, 241)"
aug_2_1708123205854.jpg,"(43, 138)","(66, 158)"
aug_3_1708123169924.jpg,"(127, 86)","(153, 117)"
aug_3_1708123169924.jpg,"(134, 118)","(157, 94)"
aug_1_1708123207773.jpg,"(18, 171)","(28, 181)"
aug_1_1708123207773.jpg,"(229, 148)","(239, 159)"
1708123264909.jpg,"(169, 67)","(262, 228)"
aug_3_1708123264937.jpg,"(200, 116)","(248, 136)"
aug_2_1708123264931.jpg,"(101, 73)","(176, 154)"
aug_2_1708123172641.jpg,"(234, 109)","(245, 122)"
1708123282240.jpg,"(120, 66)","(270, 227)"
aug_0_1708123274200.jpg,"(202, 25)","(130, 279)"
aug_0_1708123274200.jpg,"(85, 35)","(235, 265)"
aug_2_1708123274288.jpg,"(33, 35)","(134, 169)"
aug_3_1708123169501.jpg,"(141, 102)","(166, 133)"
aug_2_1708123207266.jpg,"(5, 134)","(19, 151)"
aug_2_1708123207266.jpg,"(256, 184)","(267, 195)"
aug_0_1708123207588.jpg,"(249, 135)","(262, 150)"
1708123264935.jpg,"(160, 87)","(203, 142)"
aug_0_1708123274228.jpg,"(66, 154)","(179, 9)"
aug_1_1708123166692.jpg,"(58, 146)","(77, 169)"
aug_2_1708123264919.jpg,"(83, 59)","(169, 145)"
aug_2_1708123282244.jpg,"(111, 1)","(183, 107)"
aug_0_1708123264991.jpg,"(47, 94)","(140, 198)"
aug_1_1708123206121.jpg,"(248, 123)","(267, 142)"
aug_0_1708123190843.jpg,"(226, 99)","(246, 119)"
aug_0_1708123171471.jpg,"(131, 129)","(143, 141)"
aug_2_1708123172682.jpg,"(68, 111)","(86, 127)"
aug_1_1708123191597.jpg,"(97, 95)","(133, 131)"
aug_1_1708123191597.jpg,"(98, 94)","(133, 132)"
aug_3_1708123191537.jpg,"(15, 113)","(49, 145)"
aug_0_1708123264946.jpg,"(174, 58)","(292, 184)"
aug_0_1708123264946.jpg,"(81, 90)","(1, 215)"
aug_1_1708123166651.jpg,"(210, 117)","(231, 131)"
aug_1_1708123170033.jpg,"(58, 126)","(85, 151)"
aug_3_1708123169298.jpg,"(208, 104)","(237, 136)"
aug_3_1708123274271.jpg,"(134, 132)","(222, 37)"
aug_1_1708123192924.jpg,"(119, 146)","(130, 156)"
aug_3_1708123206807.jpg,"(241, 99)","(252, 109)"
aug_1_1708123190855.jpg,"(53, 160)","(66, 173)"
aug_0_1708123206137.jpg,"(97, 97)","(119, 119)"
aug_1_1708123207549.jpg,"(228, 76)","(258, 99)"
1708123274263.jpg,"(147, 96)","(171, 119)"
aug_3_1708123191269.jpg,"(28, 101)","(2, 52)"
aug_1_1708123167211.jpg,"(2, 165)","(21, 186)"
aug_1_1708123167211.jpg,"(270, 68)","(293, 87)"
1708123172682.jpg,"(221, 112)","(235, 127)"
aug_3_1708123193330.jpg,"(34, 145)","(57, 165)"
aug_1_1708123207575.jpg,"(14, 123)","(33, 139)"
aug_1_1708123264944.jpg,"(125, 64)","(231, 182)"
aug_3_1708123166805.jpg,"(197, 174)","(212, 187)"
aug_0_1708123264942.jpg,"(61, 65)","(137, 148)"
1708123264919.jpg,"(113, 66)","(180, 157)"
aug_3_1708123264927.jpg,"(196, 51)","(263, 125)"
aug_0_1708123264771.jpg,"(127, 144)","(165, 197)"
1708123282244.jpg,"(95, 8)","(183, 125)"
aug_0_1708123191224.jpg,"(235, 97)","(271, 141)"
aug_2_1708123264935.jpg,"(156, 86)","(206, 147)"
aug_3_1708123264933.jpg,"(46, 65)","(92, 127)"
aug_0_1708123264995.jpg,"(157, 96)","(200, 149)"
1708123172641.jpg,"(226, 109)","(240, 126)"
1708123171348.jpg,"(223, 124)","(238, 138)"
aug_2_1708123282240.jpg,"(95, 50)","(269, 201)"
1708123274288.jpg,"(144, 45)","(242, 193)"
aug_0_1708123192705.jpg,"(9, 80)","(43, 116)"
aug_1_1708123192065.jpg,"(139, 102)","(163, 129)"
1708123207266.jpg,"(266, 140)","(278, 151)"
1708123207266.jpg,"(31, 146)","(41, 157)"
aug_1_1708123264993.jpg,"(127, 158)","(202, 221)"
aug_2_1708123264909.jpg,"(12, 84)","(144, 237)"
aug_1_1708123264987.jpg,"(143, 58)","(196, 129)"
aug_3_1708123191296.jpg,"(130, 141)","(173, 177)"
1708123264931.jpg,"(115, 68)","(178, 161)"
aug_0_1708123264981.jpg,"(124, 54)","(182, 127)"
1708123205854.jpg,"(230, 98)","(255, 119)"
1708123339607.jpg,"(53, 55)","(183, 232)"
aug_0_1708123167767.jpg,"(66, 131)","(86, 148)"
aug_3_1708123298949.jpg,"(190, 125)","(225, 165)"
aug_1_1708123206327.jpg,"(229, 60)","(257, 89)"
1708123339613.jpg,"(181, 90)","(251, 193)"
aug_2_1708123298967.jpg,"(47, 69)","(13, 150)"
aug_2_1708123298967.jpg,"(2, 78)","(65, 146)"
aug_3_1708123193132.jpg,"(100, 98)","(112, 110)"
aug_3_1708123298961.jpg,"(5, 138)","(44, 83)"
aug_3_1708123191057.jpg,"(19, 115)","(41, 139)"
aug_3_1708123191057.jpg,"(258, 153)","(272, 172)"
aug_0_1708123191740.jpg,"(110, 129)","(131, 145)"
aug_0_1708123298938.jpg,"(70, 104)","(119, 155)"
aug_3_1708123207728.jpg,"(75, 96)","(104, 125)"
aug_2_1708123207048.jpg,"(13, 134)","(1, 153)"
aug_3_1708123205659.jpg,"(118, 129)","(134, 142)"
1708123191135.jpg,"(234, 112)","(254, 130)"
aug_2_1708123332178.jpg,"(83, 107)","(109, 150)"
aug_2_1708123332178.jpg,"(85, 103)","(118, 152)"
1708123332154.jpg,"(158, 52)","(260, 202)"
aug_2_1708123332144.jpg,"(55, 23)","(216, 196)"
aug_3_1708123193720.jpg,"(145, 98)","(156, 107)"
aug_0_1708123170435.jpg,"(67, 139)","(79, 156)"
aug_3_1708123339771.jpg,"(134, 57)","(212, 183)"
aug_2_1708123339777.jpg,"(28, 14)","(89, 105)"
aug_3_1708123332156.jpg,"(16, 245)","(106, 73)"
1708123332168.jpg,"(228, 83)","(255, 120)"
aug_0_1708123171059.jpg,"(64, 92)","(81, 108)"
aug_1_1708123166523.jpg,"(216, 114)","(249, 142)"
1708123274129.jpg,"(128, 52)","(227, 196)"
1708123291628.jpg,"(88, 57)","(171, 184)"
aug_3_1708123291616.jpg,"(140, 113)","(228, 225)"
aug_2_1708123291610.jpg,"(112, 30)","(260, 234)"
aug_1_1708123265079.jpg,"(218, 77)","(237, 92)"
aug_1_1708123282184.jpg,"(29, 44)","(194, 218)"
aug_1_1708123282184.jpg,"(25, 45)","(193, 218)"
aug_1_1708123282190.jpg,"(190, 63)","(231, 116)"
aug_0_1708123274166.jpg,"(137, 69)","(191, 120)"
aug_0_1708123282196.jpg,"(23, 91)","(129, 233)"
1708123291614.jpg,"(46, 65)","(150, 224)"
aug_2_1708123191694.jpg,"(8, 75)","(44, 117)"
1708123171758.jpg,"(192, 103)","(206, 121)"
aug_3_1708123332181.jpg,"(168, 20)","(222, 76)"
aug_2_1708123291638.jpg,"(175, 17)","(293, 117)"
aug_3_1708123193091.jpg,"(59, 118)","(76, 136)"
1708123191451.jpg,"(243, 85)","(270, 117)"
1708123193246.jpg,"(270, 132)","(288, 150)"
aug_1_1708123168724.jpg,"(36, 172)","(55, 188)"
aug_1_1708123264818.jpg,"(194, 58)","(283, 153)"
aug_2_1708123264896.jpg,"(67, 57)","(170, 228)"
aug_2_1708123264882.jpg,"(144, 54)","(226, 142)"
aug_0_1708123206057.jpg,"(242, 90)","(269, 110)"
aug_1_1708123169348.jpg,"(51, 147)","(77, 168)"
aug_2_1708123171589.jpg,"(200, 103)","(217, 122)"
aug_0_1708123206719.jpg,"(200, 104)","(222, 133)"
aug_0_1708123264822.jpg,"(140, 174)","(151, 186)"
aug_0_1708123172020.jpg,"(191, 127)","(198, 135)"
aug_1_1708123169412.jpg,"(112, 117)","(134, 143)"
aug_1_1708123264830.jpg,"(71, 54)","(220, 237)"
aug_0_1708123170145.jpg,"(103, 124)","(134, 149)"
aug_2_1708123274313.jpg,"(46, 82)","(156, 197)"
1708123192170.jpg,"(192, 111)","(208, 129)"
