image,coordinate1,coordinate2
1708123207521.jpg,"(260, 128)","(270, 142)"
1708123207681.jpg,"(41, 151)","(53, 167)"
1708123207695.jpg,"(247, 113)","(260, 127)"
1708123264791.jpg,"(134, 96)","(188, 170)"
1708123264858.jpg,"(174, 75)","(217, 121)"
1708123264860.jpg,"(117, 84)","(180, 180)"
1708123264863.jpg,"(208, 115)","(247, 131)"
1708123264866.jpg,"(51, 49)","(176, 235)"
1708123264872.jpg,"(143, 162)","(170, 201)"
1708123264875.jpg,"(117, 1)","(202, 133)"
1708123264877.jpg,"(63, 37)","(242, 247)"
1708123264899.jpg,"(73, 66)","(143, 185)"
1708123264901.jpg,"(224, 98)","(268, 138)"
1708123264904.jpg,"(111, 108)","(216, 244)"
1708123264906.jpg,"(27, 104)","(99, 215)"
1708123264912.jpg,"(125, 126)","(206, 240)"
1708123264939.jpg,"(131, 107)","(156, 162)"
1708123264949.jpg,"(181, 71)","(252, 179)"
1708123265000.jpg,"(187, 105)","(249, 202)"
1708123265002.jpg,"(174, 89)","(215, 123)"
1708123265005.jpg,"(49, 95)","(105, 202)"
1708123265007.jpg,"(131, 54)","(217, 165)"
1708123265159.jpg,"(227, 129)","(236, 139)"
1708123265206.jpg,"(213, 154)","(222, 167)"
1708123265228.jpg,"(216, 95)","(268, 175)"
1708123274093.jpg,"(111, 83)","(160, 156)"
1708123274109.jpg,"(136, 77)","(281, 206)"
1708123274123.jpg,"(99, 52)","(248, 258)"
1708123274131.jpg,"(38, 42)","(238, 253)"
1708123274136.jpg,"(159, 47)","(249, 194)"
1708123274240.jpg,"(145, 176)","(175, 224)"
1708123274246.jpg,"(103, 69)","(178, 182)"
1708123274252.jpg,"(154, 141)","(164, 157)"
1708123274257.jpg,"(122, 66)","(194, 172)"
1708123274268.jpg,"(268, 123)","(296, 159)"
1708123274283.jpg,"(189, 84)","(275, 203)"
1708123274318.jpg,"(171, 102)","(210, 156)"
1708123274325.jpg,"(161, 69)","(261, 183)"
1708123274330.jpg,"(190, 58)","(261, 233)"
1708123274335.jpg,"(136, 68)","(212, 175)"
1708123282200.jpg,"(47, 90)","(132, 207)"
1708123282214.jpg,"(199, 110)","(235, 166)"
1708123282228.jpg,"(142, 113)","(189, 155)"
1708123291596.jpg,"(191, 103)","(268, 218)"
1708123291618.jpg,"(194, 73)","(227, 125)"
1708123291620.jpg,"(59, 57)","(209, 241)"
1708123291622.jpg,"(100, 44)","(237, 248)"
1708123291624.jpg,"(88, 24)","(217, 263)"
1708123291626.jpg,"(70, 34)","(229, 266)"
1708123291630.jpg,"(182, 72)","(279, 189)"
1708123291632.jpg,"(105, 46)","(234, 246)"
1708123291634.jpg,"(226, 79)","(265, 135)"
1708123291636.jpg,"(215, 65)","(272, 164)"
1708123298941.jpg,"(141, 141)","(162, 168)"
1708123298946.jpg,"(198, 137)","(219, 165)"
1708123298952.jpg,"(132, 81)","(201, 197)"
1708123298955.jpg,"(207, 82)","(289, 161)"
1708123298957.jpg,"(121, 64)","(195, 172)"
1708123332148.jpg,"(164, 63)","(251, 160)"
1708123332149.jpg,"(113, 105)","(170, 190)"
1708123332158.jpg,"(40, 63)","(146, 224)"
1708123332160.jpg,"(93, 111)","(121, 155)"
1708123332161.jpg,"(194, 37)","(235, 90)"
1708123332164.jpg,"(167, 65)","(243, 160)"
1708123332166.jpg,"(205, 45)","(255, 124)"
1708123332170.jpg,"(175, 64)","(284, 219)"
1708123332172.jpg,"(180, 66)","(278, 236)"
1708123332174.jpg,"(207, 82)","(234, 115)"
1708123332176.jpg,"(75, 3)","(232, 250)"
1708123332200.jpg,"(217, 127)","(225, 135)"
1708123339619.jpg,"(222, 136)","(242, 161)"
1708123339625.jpg,"(169, 90)","(201, 160)"
1708123339743.jpg,"(88, 69)","(170, 210)"
1708123339755.jpg,"(104, 63)","(251, 199)"
aug_0_1708123166276.jpg,"(24, 40)","(46, 67)"
aug_0_1708123166314.jpg,"(91, 153)","(102, 166)"
aug_0_1708123166505.jpg,"(203, 153)","(218, 175)"
aug_0_1708123166667.jpg,"(124, 116)","(141, 137)"
aug_0_1708123166728.jpg,"(33, 175)","(50, 194)"
aug_0_1708123166887.jpg,"(242, 113)","(256, 132)"
aug_0_1708123167019.jpg,"(120, 106)","(136, 136)"
aug_0_1708123167035.jpg,"(226, 117)","(244, 132)"
aug_0_1708123167144.jpg,"(226, 89)","(252, 122)"
aug_0_1708123167552.jpg,"(124, 130)","(135, 146)"
aug_0_1708123167569.jpg,"(97, 98)","(115, 118)"
aug_0_1708123167585.jpg,"(53, 121)","(66, 137)"
aug_0_1708123167626.jpg,"(34, 122)","(58, 155)"
aug_0_1708123167790.jpg,"(253, 139)","(267, 155)"
aug_0_1708123167989.jpg,"(49, 96)","(61, 123)"
aug_0_1708123168660.jpg,"(8, 54)","(2, 91)"
aug_0_1708123168868.jpg,"(168, 94)","(196, 147)"
aug_0_1708123169195.jpg,"(23, 68)","(80, 126)"
aug_0_1708123169397.jpg,"(122, 112)","(144, 134)"
aug_0_1708123169434.jpg,"(237, 94)","(258, 110)"
aug_0_1708123169583.jpg,"(182, 78)","(225, 125)"
aug_0_1708123169757.jpg,"(231, 141)","(247, 158)"
aug_0_1708123169794.jpg,"(115, 139)","(134, 154)"
aug_0_1708123169999.jpg,"(56, 85)","(66, 101)"
aug_0_1708123170017.jpg,"(239, 111)","(253, 129)"
aug_0_1708123170166.jpg,"(216, 131)","(236, 155)"
aug_0_1708123170189.jpg,"(192, 103)","(226, 123)"
aug_0_1708123170561.jpg,"(90, 109)","(105, 125)"
aug_0_1708123170934.jpg,"(193, 84)","(206, 103)"
aug_0_1708123171135.jpg,"(171, 103)","(184, 119)"
aug_0_1708123171247.jpg,"(220, 124)","(231, 139)"
aug_0_1708123171889.jpg,"(102, 125)","(113, 137)"
aug_0_1708123172163.jpg,"(79, 108)","(93, 120)"
aug_0_1708123172376.jpg,"(84, 138)","(98, 151)"
aug_0_1708123172416.jpg,"(69, 123)","(85, 140)"
aug_0_1708123172548.jpg,"(233, 112)","(249, 126)"
aug_0_1708123190725.jpg,"(108, 119)","(128, 134)"
aug_0_1708123190861.jpg,"(37, 153)","(55, 169)"
aug_0_1708123190867.jpg,"(43, 107)","(57, 129)"
aug_0_1708123190876.jpg,"(51, 116)","(81, 137)"
aug_0_1708123190888.jpg,"(273, 138)","(295, 168)"
aug_0_1708123190907.jpg,"(44, 149)","(56, 165)"
aug_0_1708123191004.jpg,"(252, 134)","(263, 150)"
aug_0_1708123191165.jpg,"(138, 90)","(168, 112)"
aug_0_1708123191176.jpg,"(229, 105)","(250, 128)"
aug_0_1708123191199.jpg,"(234, 78)","(268, 115)"
aug_0_1708123191239.jpg,"(209, 99)","(228, 114)"
aug_0_1708123191248.jpg,"(40, 110)","(58, 132)"
aug_0_1708123191361.jpg,"(98, 120)","(126, 152)"
aug_0_1708123191367.jpg,"(235, 125)","(247, 137)"
aug_0_1708123191371.jpg,"(42, 118)","(68, 142)"
aug_0_1708123191375.jpg,"(210, 99)","(229, 121)"
aug_0_1708123191398.jpg,"(33, 93)","(75, 128)"
aug_0_1708123191404.jpg,"(174, 105)","(195, 132)"
aug_0_1708123191410.jpg,"(226, 136)","(238, 157)"
aug_0_1708123191417.jpg,"(213, 95)","(235, 119)"
aug_0_1708123191439.jpg,"(37, 81)","(53, 106)"
aug_0_1708123191990.jpg,"(229, 77)","(253, 129)"
aug_0_1708123192047.jpg,"(89, 69)","(102, 86)"
aug_0_1708123192051.jpg,"(142, 120)","(160, 144)"
aug_0_1708123192094.jpg,"(105, 105)","(119, 135)"
aug_0_1708123192122.jpg,"(91, 125)","(125, 151)"
aug_0_1708123192290.jpg,"(34, 158)","(48, 171)"
aug_0_1708123192331.jpg,"(6, 98)","(26, 122)"
aug_0_1708123192494.jpg,"(245, 92)","(257, 107)"
aug_0_1708123192535.jpg,"(186, 148)","(195, 158)"
aug_0_1708123193172.jpg,"(42, 147)","(53, 164)"
aug_0_1708123193210.jpg,"(62, 144)","(68, 157)"
aug_0_1708123193377.jpg,"(186, 121)","(199, 136)"
aug_0_1708123193463.jpg,"(111, 147)","(121, 159)"
aug_0_1708123193764.jpg,"(125, 119)","(114, 136)"
aug_0_1708123193852.jpg,"(208, 123)","(220, 137)"
aug_0_1708123194018.jpg,"(88, 128)","(98, 142)"
aug_0_1708123205579.jpg,"(206, 150)","(222, 167)"
aug_0_1708123205592.jpg,"(148, 106)","(167, 126)"
aug_0_1708123205624.jpg,"(60, 109)","(73, 121)"
aug_0_1708123205743.jpg,"(109, 76)","(119, 94)"
aug_0_1708123205785.jpg,"(193, 84)","(214, 126)"
aug_0_1708123205815.jpg,"(126, 116)","(136, 131)"
aug_0_1708123205973.jpg,"(160, 71)","(194, 115)"
aug_0_1708123206298.jpg,"(219, 133)","(230, 145)"
aug_0_1708123206305.jpg,"(79, 124)","(95, 142)"
aug_0_1708123206470.jpg,"(176, 124)","(202, 155)"
aug_0_1708123206659.jpg,"(55, 121)","(73, 139)"
aug_0_1708123206699.jpg,"(265, 172)","(273, 186)"
aug_0_1708123206857.jpg,"(121, 69)","(151, 105)"
aug_0_1708123206932.jpg,"(41, 70)","(55, 94)"
aug_0_1708123207394.jpg,"(241, 121)","(251, 135)"
aug_0_1708123207424.jpg,"(231, 135)","(240, 155)"
aug_0_1708123207433.jpg,"(39, 113)","(54, 133)"
aug_0_1708123207608.jpg,"(15, 123)","(7, 137)"
aug_0_1708123207627.jpg,"(234, 142)","(244, 157)"
aug_0_1708123207635.jpg,"(133, 145)","(143, 155)"
aug_0_1708123207745.jpg,"(22, 114)","(35, 130)"
aug_0_1708123207783.jpg,"(72, 109)","(81, 127)"
aug_0_1708123207790.jpg,"(251, 100)","(262, 119)"
aug_0_1708123207807.jpg,"(105, 143)","(140, 172)"
aug_0_1708123264769.jpg,"(105, 28)","(213, 172)"
aug_0_1708123264778.jpg,"(142, 34)","(222, 248)"
aug_0_1708123264780.jpg,"(121, 73)","(158, 136)"
aug_0_1708123264783.jpg,"(167, 55)","(233, 264)"
aug_0_1708123264786.jpg,"(73, 59)","(166, 191)"
aug_0_1708123264787.jpg,"(4, 34)","(94, 162)"
aug_0_1708123264791.jpg,"(110, 112)","(195, 179)"
aug_0_1708123264794.jpg,"(114, 81)","(151, 166)"
aug_0_1708123264796.jpg,"(85, 25)","(207, 157)"
aug_0_1708123264802.jpg,"(166, 80)","(209, 131)"
aug_0_1708123264804.jpg,"(42, 53)","(77, 107)"
aug_0_1708123264807.jpg,"(32, 79)","(80, 138)"
aug_0_1708123264810.jpg,"(74, 70)","(142, 192)"
aug_0_1708123264813.jpg,"(149, 135)","(164, 162)"
aug_0_1708123264816.jpg,"(115, 96)","(185, 207)"
aug_0_1708123264839.jpg,"(143, 117)","(166, 167)"
aug_0_1708123264906.jpg,"(37, 90)","(119, 208)"
aug_0_1708123264912.jpg,"(94, 141)","(193, 235)"
aug_0_1708123264949.jpg,"(168, 50)","(254, 142)"
aug_0_1708123264958.jpg,"(192, 87)","(252, 149)"
aug_0_1708123264960.jpg,"(76, 51)","(140, 150)"
aug_0_1708123264962.jpg,"(125, 117)","(193, 169)"
aug_0_1708123264964.jpg,"(58, 106)","(195, 209)"
aug_0_1708123264967.jpg,"(181, 128)","(209, 144)"
aug_0_1708123264974.jpg,"(99, 74)","(237, 209)"
aug_0_1708123264976.jpg,"(67, 108)","(139, 178)"
aug_0_1708123264998.jpg,"(161, 74)","(219, 151)"
aug_0_1708123265115.jpg,"(112, 113)","(104, 127)"
aug_0_1708123274145.jpg,"(152, 96)","(219, 167)"
aug_0_1708123274151.jpg,"(96, 95)","(129, 170)"
aug_0_1708123274157.jpg,"(168, 47)","(261, 161)"
aug_0_1708123274178.jpg,"(59, 22)","(232, 270)"
aug_0_1708123274183.jpg,"(108, 41)","(262, 252)"
aug_0_1708123274186.jpg,"(207, 63)","(293, 183)"
aug_0_1708123274192.jpg,"(95, 61)","(147, 111)"
aug_0_1708123274195.jpg,"(165, 81)","(197, 113)"
aug_0_1708123274197.jpg,"(108, 92)","(270, 210)"
aug_0_1708123274234.jpg,"(94, 91)","(154, 169)"
aug_0_1708123274240.jpg,"(140, 180)","(188, 213)"
aug_0_1708123274268.jpg,"(242, 102)","(278, 132)"
aug_0_1708123274283.jpg,"(182, 74)","(278, 195)"
aug_0_1708123274342.jpg,"(164, 93)","(260, 205)"
aug_0_1708123274354.jpg,"(126, 41)","(261, 143)"
aug_0_1708123274379.jpg,"(141, 96)","(278, 206)"
aug_0_1708123274384.jpg,"(26, 58)","(145, 165)"
aug_0_1708123274392.jpg,"(177, 105)","(233, 196)"
aug_0_1708123274397.jpg,"(200, 72)","(237, 141)"
aug_0_1708123274408.jpg,"(70, 128)","(6, 264)"
aug_0_1708123282160.jpg,"(151, 66)","(99, 184)"
aug_0_1708123282163.jpg,"(137, 0)","(292, 143)"
aug_0_1708123282165.jpg,"(24, 61)","(199, 207)"
aug_0_1708123282167.jpg,"(208, 53)","(278, 116)"
aug_0_1708123282170.jpg,"(104, 53)","(217, 166)"
aug_0_1708123282174.jpg,"(227, 87)","(264, 136)"
aug_0_1708123282176.jpg,"(89, 99)","(109, 129)"
aug_0_1708123282198.jpg,"(23, 57)","(58, 105)"
aug_0_1708123282200.jpg,"(189, 72)","(267, 214)"
aug_0_1708123282202.jpg,"(156, 32)","(210, 109)"
aug_0_1708123282206.jpg,"(28, 71)","(88, 167)"
aug_0_1708123282212.jpg,"(19, 59)","(81, 141)"
aug_0_1708123282214.jpg,"(187, 97)","(239, 156)"
aug_0_1708123282216.jpg,"(91, 52)","(187, 149)"
aug_0_1708123282228.jpg,"(141, 110)","(192, 161)"
aug_0_1708123282229.jpg,"(122, 77)","(241, 216)"
aug_0_1708123291596.jpg,"(40, 131)","(154, 230)"
aug_0_1708123298934.jpg,"(134, 94)","(206, 151)"
aug_0_1708123298936.jpg,"(97, 83)","(177, 192)"
aug_0_1708123339657.jpg,"(89, 72)","(217, 257)"
aug_0_1708123339681.jpg,"(79, 70)","(225, 235)"
aug_0_1708123339686.jpg,"(46, 93)","(84, 142)"
aug_1_1708123166314.jpg,"(79, 157)","(96, 172)"
aug_1_1708123166505.jpg,"(181, 119)","(210, 140)"
aug_1_1708123166667.jpg,"(150, 119)","(164, 139)"
aug_1_1708123166728.jpg,"(30, 124)","(44, 144)"
aug_1_1708123166887.jpg,"(243, 115)","(260, 133)"
aug_1_1708123167019.jpg,"(173, 110)","(187, 139)"
aug_1_1708123167035.jpg,"(41, 160)","(51, 175)"
aug_1_1708123167144.jpg,"(244, 76)","(263, 108)"
aug_1_1708123167552.jpg,"(130, 107)","(148, 124)"
aug_1_1708123167569.jpg,"(103, 93)","(119, 112)"
aug_1_1708123167585.jpg,"(211, 99)","(226, 113)"
aug_1_1708123167790.jpg,"(38, 122)","(50, 141)"
aug_1_1708123167989.jpg,"(252, 137)","(266, 150)"
aug_1_1708123168660.jpg,"(255, 46)","(279, 81)"
aug_1_1708123168868.jpg,"(99, 85)","(132, 128)"
aug_1_1708123169195.jpg,"(20, 43)","(77, 121)"
aug_1_1708123169397.jpg,"(174, 118)","(193, 140)"
aug_1_1708123169434.jpg,"(230, 117)","(245, 136)"
aug_1_1708123169583.jpg,"(74, 89)","(120, 132)"
aug_1_1708123169999.jpg,"(252, 108)","(263, 123)"
aug_1_1708123170017.jpg,"(226, 84)","(242, 105)"
aug_1_1708123170166.jpg,"(48, 120)","(67, 148)"
aug_1_1708123170189.jpg,"(89, 140)","(115, 178)"
aug_1_1708123170271.jpg,"(230, 111)","(244, 128)"
aug_1_1708123170561.jpg,"(97, 99)","(110, 116)"
aug_1_1708123171135.jpg,"(102, 133)","(117, 152)"
aug_1_1708123171247.jpg,"(198, 105)","(207, 120)"
aug_1_1708123171889.jpg,"(188, 130)","(198, 144)"
aug_1_1708123172163.jpg,"(211, 88)","(219, 101)"
aug_1_1708123172376.jpg,"(198, 117)","(212, 128)"
aug_1_1708123172416.jpg,"(215, 114)","(230, 131)"
aug_1_1708123172548.jpg,"(250, 158)","(262, 173)"
aug_1_1708123190725.jpg,"(143, 128)","(160, 142)"
aug_1_1708123190861.jpg,"(69, 88)","(80, 105)"
aug_1_1708123190867.jpg,"(31, 160)","(51, 180)"
aug_1_1708123190876.jpg,"(240, 79)","(265, 101)"
aug_1_1708123190888.jpg,"(254, 99)","(277, 119)"
aug_1_1708123190907.jpg,"(23, 142)","(36, 157)"
aug_1_1708123191004.jpg,"(243, 126)","(257, 143)"
aug_1_1708123191165.jpg,"(135, 85)","(159, 112)"
aug_1_1708123191176.jpg,"(47, 135)","(72, 153)"
aug_1_1708123191199.jpg,"(32, 75)","(70, 113)"
aug_1_1708123191361.jpg,"(118, 119)","(149, 141)"
aug_1_1708123191367.jpg,"(43, 117)","(59, 136)"
aug_1_1708123191371.jpg,"(201, 88)","(236, 114)"
aug_1_1708123191375.jpg,"(210, 121)","(228, 143)"
aug_1_1708123191398.jpg,"(70, 107)","(51, 152)"
aug_1_1708123191404.jpg,"(189, 94)","(213, 133)"
aug_1_1708123191410.jpg,"(217, 121)","(244, 150)"
aug_1_1708123191417.jpg,"(224, 87)","(258, 121)"
aug_1_1708123191439.jpg,"(33, 108)","(57, 135)"
aug_1_1708123191773.jpg,"(82, 127)","(60, 152)"
aug_1_1708123191834.jpg,"(157, 131)","(168, 149)"
aug_1_1708123191990.jpg,"(40, 122)","(79, 157)"
aug_1_1708123192021.jpg,"(224, 95)","(243, 113)"
aug_1_1708123192047.jpg,"(58, 104)","(74, 122)"
aug_1_1708123192051.jpg,"(129, 115)","(146, 136)"
aug_1_1708123192078.jpg,"(37, 166)","(55, 185)"
aug_1_1708123192087.jpg,"(197, 127)","(212, 143)"
aug_1_1708123192094.jpg,"(166, 85)","(195, 103)"
aug_1_1708123192122.jpg,"(185, 119)","(205, 140)"
aug_1_1708123192252.jpg,"(213, 92)","(209, 106)"
aug_1_1708123192290.jpg,"(256, 83)","(248, 101)"
aug_1_1708123192331.jpg,"(14, 92)","(0, 71)"
aug_1_1708123192454.jpg,"(248, 95)","(259, 109)"
aug_1_1708123192494.jpg,"(252, 88)","(272, 110)"
aug_1_1708123192535.jpg,"(172, 134)","(183, 146)"
aug_1_1708123193010.jpg,"(54, 102)","(71, 120)"
aug_1_1708123193172.jpg,"(239, 133)","(258, 152)"
aug_1_1708123193210.jpg,"(196, 155)","(205, 167)"
aug_1_1708123193377.jpg,"(123, 141)","(137, 154)"
aug_1_1708123194018.jpg,"(199, 126)","(209, 136)"
aug_1_1708123205579.jpg,"(82, 190)","(100, 204)"
aug_1_1708123205592.jpg,"(124, 89)","(151, 109)"
aug_1_1708123205624.jpg,"(207, 78)","(221, 96)"
aug_1_1708123205743.jpg,"(97, 74)","(111, 98)"
aug_1_1708123205785.jpg,"(70, 60)","(111, 113)"
aug_1_1708123205815.jpg,"(122, 107)","(138, 123)"
aug_1_1708123205973.jpg,"(170, 81)","(204, 138)"
aug_1_1708123206298.jpg,"(211, 128)","(222, 144)"
aug_1_1708123206305.jpg,"(212, 114)","(229, 138)"
aug_1_1708123206470.jpg,"(178, 99)","(208, 132)"
aug_1_1708123206659.jpg,"(250, 102)","(266, 120)"
aug_1_1708123206699.jpg,"(250, 165)","(262, 181)"
aug_1_1708123206932.jpg,"(25, 133)","(54, 152)"
aug_1_1708123207243.jpg,"(105, 74)","(116, 94)"
aug_1_1708123207294.jpg,"(149, 91)","(164, 111)"
aug_1_1708123207394.jpg,"(10, 122)","(24, 137)"
aug_1_1708123207424.jpg,"(56, 147)","(72, 169)"
aug_1_1708123207433.jpg,"(51, 120)","(66, 140)"
aug_1_1708123207608.jpg,"(27, 119)","(40, 135)"
aug_1_1708123207627.jpg,"(233, 141)","(245, 155)"
aug_1_1708123207635.jpg,"(135, 130)","(148, 137)"
aug_1_1708123207745.jpg,"(30, 102)","(52, 123)"
aug_1_1708123207783.jpg,"(236, 146)","(248, 165)"
aug_1_1708123207790.jpg,"(10, 97)","(21, 117)"
aug_1_1708123207807.jpg,"(97, 125)","(121, 157)"
aug_1_1708123264769.jpg,"(81, 33)","(215, 149)"
aug_1_1708123264780.jpg,"(134, 77)","(176, 124)"
aug_1_1708123264783.jpg,"(168, 58)","(239, 166)"
aug_1_1708123264786.jpg,"(126, 55)","(251, 164)"
aug_1_1708123264791.jpg,"(109, 109)","(156, 188)"
aug_1_1708123264794.jpg,"(140, 115)","(165, 144)"
aug_1_1708123264796.jpg,"(87, 42)","(210, 146)"
aug_1_1708123264802.jpg,"(68, 84)","(126, 163)"
aug_1_1708123264804.jpg,"(203, 37)","(238, 89)"
aug_1_1708123264807.jpg,"(205, 44)","(264, 97)"
aug_1_1708123264810.jpg,"(80, 38)","(146, 174)"
aug_1_1708123264813.jpg,"(146, 153)","(169, 178)"
aug_1_1708123264816.jpg,"(111, 108)","(191, 201)"
aug_1_1708123264839.jpg,"(143, 120)","(182, 158)"
aug_1_1708123264949.jpg,"(191, 67)","(258, 175)"
aug_1_1708123264958.jpg,"(55, 78)","(116, 189)"
aug_1_1708123264960.jpg,"(79, 62)","(150, 159)"
aug_1_1708123264962.jpg,"(141, 146)","(198, 202)"
aug_1_1708123264964.jpg,"(89, 78)","(181, 228)"
aug_1_1708123264967.jpg,"(177, 108)","(211, 137)"
aug_1_1708123264971.jpg,"(260, 76)","(286, 113)"
aug_1_1708123264974.jpg,"(66, 77)","(243, 216)"
aug_1_1708123264976.jpg,"(70, 92)","(138, 177)"
aug_1_1708123264998.jpg,"(66, 80)","(124, 159)"
aug_1_1708123274145.jpg,"(159, 102)","(212, 193)"
aug_1_1708123274151.jpg,"(184, 99)","(223, 174)"
aug_1_1708123274157.jpg,"(165, 54)","(254, 158)"
aug_1_1708123274169.jpg,"(33, 99)","(114, 188)"
aug_1_1708123274178.jpg,"(36, 35)","(256, 229)"
aug_1_1708123274183.jpg,"(100, 79)","(270, 242)"
aug_1_1708123274186.jpg,"(205, 60)","(295, 189)"
aug_1_1708123274192.jpg,"(94, 51)","(147, 108)"
aug_1_1708123274195.jpg,"(87, 121)","(111, 144)"
aug_1_1708123274197.jpg,"(128, 66)","(247, 227)"
aug_1_1708123274223.jpg,"(110, 52)","(229, 238)"
aug_1_1708123274234.jpg,"(85, 98)","(157, 176)"
aug_1_1708123274246.jpg,"(122, 75)","(196, 182)"
aug_1_1708123274252.jpg,"(134, 138)","(153, 161)"
aug_1_1708123274342.jpg,"(42, 117)","(145, 223)"
aug_1_1708123274354.jpg,"(154, 50)","(257, 181)"
aug_1_1708123274379.jpg,"(116, 107)","(286, 205)"
aug_1_1708123274384.jpg,"(51, 33)","(143, 154)"
aug_1_1708123274392.jpg,"(58, 105)","(135, 199)"
aug_1_1708123274397.jpg,"(218, 76)","(243, 142)"
aug_1_1708123274408.jpg,"(186, 54)","(299, 150)"
aug_1_1708123282163.jpg,"(141, 10)","(284, 186)"
aug_1_1708123282165.jpg,"(97, 66)","(271, 205)"
aug_1_1708123282167.jpg,"(170, 26)","(270, 99)"
aug_1_1708123282170.jpg,"(113, 66)","(221, 184)"
aug_1_1708123282172.jpg,"(36, 62)","(84, 132)"
aug_1_1708123282176.jpg,"(159, 108)","(189, 133)"
aug_1_1708123282198.jpg,"(227, 42)","(267, 86)"
aug_1_1708123282200.jpg,"(163, 80)","(256, 196)"
aug_1_1708123282204.jpg,"(77, 47)","(231, 225)"
aug_1_1708123282206.jpg,"(25, 115)","(96, 190)"
